SHIPMENT_ID,SHIPMENT_LINE_ID,PO_ID,SUPPLIER_ID,WAREHOUSE_ID,ITEM_ID,SHIPMENT_DATE,EXPECTED_ARRIVAL_DATE,ACTUAL_ARRIVAL_DATE,QUANTITY_SHIPPED,QUANTITY_DAMAGED,CARRIER,TRACKING_NUMBER,SHIPMENT_STATUS,FREIGHT_COST_USD
SHP000093,SHPL000093,PO012743,SUP050,WH018,ITM0011,,2022-11-25,2022-12-07,71,7,DHL,TRK5298387,IN_TRANSIT,667.59
SHP003585,SHPL003585,PO003799,SUP044,WH007,ITM0033,2024-02-27,2024-03-20,2024-02-28,168,0,DHL,TRK8057041,DELAYED,965.29
SHP003837,SHPL003837,PO002072,SUP006,WH020,ITM0128,2024-03-31,2024-04-12,2024-04-12,189,12,Aramex,TRK6200576,IN_TRANSIT,3817.68
SHP001760,SHPL001760,PO012692,SUP035,WH017,ITM0071,2024-07-28,2024-08-09,2024-08-23,154,3,BlueDart,TRK1096416,DELAYED,4877.61
SHP004941,SHPL004941,PO001702,SUP018,WH010,ITM0140,2023-07-28,2023-07-30,2023-08-02,75,0,FedEx,TRK4147500,DELAYED,
SHP000402,SHPL000402,PO019135,SUP037,WH009,ITM0049,2024-04-26,2024-05-09,2024-05-24,54,1,FedEx,TRK3437985,RETURNED,1688.65
SHP000671,SHPL000671,PO013265,SUP008,WH010,ITM0018,2022-07-28,2022-08-10,2022-08-24,,6,FedEx,TRK7496525,DELAYED,1355.05
SHP003821,SHPL003821,PO002423,SUP008,WH020,ITM0083,2024-07-12,2024-07-20,2024-07-28,188,4,Aramex,TRK5199565,IN_TRANSIT,-1
SHP001981,SHPL001981,PO001910,SUP001,WH005,ITM0049,2024-04-08,2024-04-21,2024-05-05,73,0,Aramex,TRK6273206,RETURNED,4339.72
SHP001200,SHPL001200,PO002877,SUP044,WH017,ITM0017,2024-07-06,2024-07-25,2024-07-12,116,3,BlueDart,TRK4349186,RETURNED,3507.64
SHP003180,SHPL003180,PO011652,SUP017,WH016,ITM0066,2024-03-27,2024-03-30,2024-04-17,175,14,BlueDart,TRK2505077,DELIVERED,INVALID
SHP000869,SHPL000869,PO005040,SUP029,WH014,ITM0022,2024-07-08,2024-07-15,2024-07-14,108,7,BlueDart,TRK5065285,RETURNED,4801.15
SHP004209,SHPL004209,PO009400,SUP044,WH014,ITM0076,2024-06-10,2024-07-03,2024-06-27,144,13,DHL,,RETURNED,3716.03
SHP000056,SHPL000056,PO000705,SUP032,WH008,ITM0051,2024-04-22,2024-05-12,2024-05-08,119,8,DHL,TRK5697327,LOST,3588.48
SHP004604,SHPL004604,PO005879,SUP032,WH015,ITM0096,2024-09-24,2024-10-10,2024-10-04,20,1,BlueDart,TRK9150595,IN_TRANSIT,817.04
SHP000094,SHPL000094,PO018061,SUP034,WH020,ITM0090,2022-10-03,2022-10-23,2022-10-24,29,1,DHL,TRK8446571,,1501.98
SHP004361,SHPL004361,PO018728,SUP004,WH002,ITM0144,2022-08-17,2022-08-20,2022-09-05,175,16,DHL,TRK3157043,LOST,1712.3
SHP003194,SHPL003194,PO005036,SUP005,WH017,ITM0139,,2022-02-15,2022-02-19,199,5,BlueDart,TRK7512083,DELAYED,2654.68
SHP004923,SHPL004923,PO010499,SUP028,WH007,ITM0069,2024-09-01,2024-09-20,2024-09-23,86,5,BlueDart,TRK8498445,RETURNED,2164.5
SHP004028,SHPL004028,PO004778,SUP038,WH012,ITM0084,2023-05-28,2023-06-06,2023-06-11,142,7,FedEx,TRK1066269,DELIVERED,3102.47
SHP003333,SHPL003333,PO015005,SUP019,WH002,ITM0050,2023-11-29,2023-12-19,2023-12-11,89,8,BlueDart,TRK3406210,RETURNED,3486.06
SHP003033,SHPL003033,PO003829,SUP037,WH003,ITM0112,2024-07-25,2024-07-27,2024-08-14,83,5,DHL,TRK8647460,DELIVERED,2953.57
SHP003627,SHPL003627,PO016339,SUP006,WH004,ITM0065,2024-12-03,2024-12-26,2024-12-20,17,0,BlueDart,TRK6548845,RETURNED,4859.05
SHP000192,SHPL000192,PO012510,SUP040,WH011,ITM0139,2024-03-03,2024-03-05,2024-03-17,136,0,Aramex,TRK3543531,LOST,1126.97
SHP000333,SHPL000333,PO004178,SUP041,WH012,ITM0100,2023-08-07,2023-08-11,2023-08-20,59,0,FedEx,TRK7725231,DELAYED,3591.11
SHP004755,SHPL004755,PO009097,SUP026,WH005,ITM0067,,2022-10-13,2022-10-17,196,18,DHL,TRK4959931,RETURNED,441.04
SHP002649,SHPL002649,PO017974,SUP013,WH004,ITM0118,2024-05-01,2024-05-15,2024-05-26,162,11,FedEx,TRK8488438,LOST,
SHP001194,SHPL001194,PO008507,SUP041,WH012,ITM0097,2022-08-03,2022-08-22,2022-08-12,163,5,FedEx,TRK9372385,,2437.95
SHP004645,SHPL004645,PO004649,SUP040,WH007,ITM0032,2022-03-04,2022-03-10,2022-03-10,132,4,Aramex,TRK8701617,INVALID,1467.36
SHP002746,SHPL002746,PO002219,SUP016,WH003,ITM0117,2022-07-15,2022-08-09,2022-08-12,10,1,BlueDart,TRK4824190,RETURNED,4552.36
SHP000822,SHPL000822,PO007529,SUP030,WH002,ITM0049,2022-03-16,2022-03-20,2022-04-03,167,6,FedEx,TRK9264140,LOST,338.25
SHP002982,SHPL002982,PO006542,SUP034,WH012,ITM0029,2023-04-16,2023-05-05,2023-04-28,53,5,UPS,TRK1195794,RETURNED,4233.6
SHP004324,SHPL004324,PO002976,SUP019,WH016,ITM0041,INVALID,2023-11-04,2023-11-22,183,15,DHL,TRK3166919,DELIVERED,4849.76
SHP002371,SHPL002371,PO017584,SUP015,WH011,ITM0106,2024-12-04,2024-12-28,2024-12-24,19,1,Aramex,TRK8171062,LOST,626.29
SHP000023,SHPL000023,PO011336,SUP031,WH007,ITM0130,2024-09-30,2024-10-10,2024-10-01,86,0,BlueDart,TRK7522308,LOST,4377.6
SHP003187,SHPL003187,PO016675,SUP007,WH008,ITM0068,2024-04-06,2024-04-28,2024-04-21,90,3,UPS,TRK4219980,RETURNED,3865.47
SHP002450,SHPL002450,PO002216,SUP047,WH012,ITM0138,2022-10-21,2022-10-23,2022-11-18,44,3,BlueDart,TRK4759148,RETURNED,3188.78
SHP002195,SHPL002195,PO004057,SUP048,WH015,ITM0006,2022-12-31,2023-01-08,2023-01-20,159,6,Aramex,TRK7463338,DELIVERED,4798.46
SHP000315,SHPL000315,PO001239,SUP003,WH010,ITM0129,2024-12-12,2024-12-28,2025-01-06,173,1,UPS,TRK8197942,IN_TRANSIT,143.26
SHP004978,SHPL004978,PO011977,SUP021,WH014,ITM0001,2022-12-03,2022-12-21,2022-12-12,159,5,DHL,TRK9640147,IN_TRANSIT,2217.88
SHP000981,SHPL000981,PO003335,SUP035,WH020,ITM0050,2024-07-16,2024-07-20,2024-07-27,164,11,UPS,TRK6882660,RETURNED,397.21
SHP002894,SHPL002894,PO019230,SUP014,WH009,ITM0037,2023-01-27,2023-02-02,2023-02-13,38,1,UPS,TRK3786688,IN_TRANSIT,3789.55
SHP002656,SHPL002656,PO012837,SUP019,WH006,ITM0030,2022-08-07,2022-08-21,2022-08-26,38,1,DHL,TRK6417183,INVALID,3036.16
SHP004998,SHPL004998,PO015291,SUP007,WH015,ITM0002,2023-05-12,2023-05-26,2023-05-27,57,5,DHL,INVALID,LOST,1614.78
SHP001695,SHPL001695,PO006251,SUP026,WH014,ITM0146,2024-01-22,2024-01-26,2024-02-21,123,8,FedEx,TRK4783512,IN_TRANSIT,2450.28
SHP003230,SHPL003230,PO016269,SUP050,WH007,ITM0090,2023-01-18,2023-02-03,2023-02-09,181,14,FedEx,TRK6700264,DELAYED,3344.97
SHP003191,SHPL003191,PO011642,SUP005,WH020,ITM0067,2022-06-17,2022-06-29,2022-07-07,75,6,BlueDart,TRK1024228,DELIVERED,2127.85
SHP002523,SHPL002523,PO012297,SUP035,WH020,ITM0003,2023-09-10,2023-10-02,2023-09-19,101,1,BlueDart,TRK6900979,IN_TRANSIT,1033.78
SHP004968,SHPL004968,PO015363,SUP039,WH016,ITM0150,2024-11-09,2024-11-18,2024-12-05,113,2,Aramex,TRK2444792,DELIVERED,4127.31
SHP004613,SHPL004613,PO000978,SUP019,WH009,ITM0050,2023-12-11,2023-12-27,2024-01-02,110,3,Aramex,TRK1642330,RETURNED,60.51
SHP004554,SHPL004554,PO014830,SUP031,WH019,ITM0084,2024-07-15,2024-07-18,2024-07-30,101,5,Aramex,TRK9176478,-1,4449.54
SHP004521,SHPL004521,PO009368,SUP044,WH017,ITM0112,2024-01-03,2024-01-28,2024-01-21,165,2,BlueDart,TRK1719513,DELIVERED,241.11
SHP001591,SHPL001591,PO007662,SUP010,WH008,ITM0073,2024-07-21,2024-07-22,2024-08-11,28,1,Aramex,TRK8407795,IN_TRANSIT,1247.53
SHP004206,SHPL004206,PO018049,SUP032,WH018,ITM0004,2023-01-25,2023-02-02,2023-02-22,54,4,FedEx,TRK5859690,DELIVERED,2596.34
SHP003015,SHPL003015,PO012285,SUP011,WH015,ITM0140,2022-04-01,2022-04-23,2022-04-23,152,5,UPS,TRK4308157,IN_TRANSIT,3694.69
SHP002850,SHPL002850,PO007514,SUP019,WH010,ITM0062,2022-04-25,2022-05-16,2022-05-12,174,7,Aramex,TRK5932652,LOST,4579.79
SHP003822,SHPL003822,PO016965,SUP024,WH013,ITM0001,2024-02-26,2024-03-06,2024-03-01,180,1,BlueDart,TRK4813387,RETURNED,929.35
SHP003257,SHPL003257,PO000880,SUP010,WH019,ITM0014,2022-02-05,2022-02-14,2022-02-12,197,14,UPS,TRK7987838,LOST,1135.86
SHP000136,SHPL000136,PO010474,SUP027,WH015,ITM0112,2023-12-20,2023-12-31,2024-01-19,129,2,FedEx,TRK6278086,DELIVERED,1884.24
SHP002716,SHPL002716,PO011617,SUP001,WH009,ITM0137,2023-06-19,2023-07-02,2023-07-14,94,8,DHL,TRK4903209,DELIVERED,2517.11
SHP001463,SHPL001463,PO017321,SUP003,WH013,ITM0143,2024-09-21,2024-09-30,2024-09-29,81,0,FedEx,TRK7901043,DELAYED,3405.01
SHP003385,SHPL003385,PO009350,SUP031,WH012,ITM0149,2023-08-20,2023-08-22,2023-09-11,152,8,UPS,TRK5739825,RETURNED,828.15
SHP004552,SHPL004552,PO000790,SUP001,WH004,ITM0072,2022-10-22,2022-11-10,2022-11-01,67,4,,TRK9197567,IN_TRANSIT,2540.44
SHP002346,SHPL002346,PO006161,SUP006,WH013,ITM0113,2024-07-10,2024-07-25,2024-07-20,59,5,Aramex,TRK5128616,RETURNED,514.96
SHP003913,SHPL003913,PO013686,SUP041,WH001,ITM0134,2022-03-21,2022-04-14,2022-03-23,192,7,Aramex,TRK5396251,LOST,3185.97
SHP001887,SHPL001887,PO006996,SUP031,WH007,ITM0061,2024-07-30,2024-08-01,2024-08-05,118,3,FedEx,TRK9296299,LOST,4108.9
SHP002484,SHPL002484,PO003247,SUP029,WH009,ITM0148,2024-10-26,2024-11-05,2024-11-19,121,9,FedEx,TRK6379998,RETURNED,219.35
SHP002665,SHPL002665,PO004722,SUP006,WH012,ITM0099,2022-01-27,2022-02-06,2022-02-10,167,2,UPS,TRK2913455,DELAYED,352.06
SHP004576,SHPL004576,PO001951,SUP012,WH009,ITM0033,2024-09-09,2024-09-22,2024-09-10,45,1,FedEx,TRK9221680,IN_TRANSIT,552.6
SHP002096,SHPL002096,PO017847,SUP003,WH005,ITM0004,2023-05-26,2023-05-29,2023-06-20,11,1,BlueDart,TRK8994784,RETURNED,1353.49
SHP001623,SHPL001623,PO007573,SUP034,WH004,ITM0085,2022-11-18,2022-11-28,2022-11-22,167,7,FedEx,INVALID,IN_TRANSIT,583.8
SHP002298,SHPL002298,PO009162,SUP020,WH003,ITM0123,2022-07-14,2022-08-07,2022-07-16,179,7,UPS,TRK6813442,LOST,1334.79
SHP002383,SHPL002383,PO005438,SUP043,WH011,ITM0001,2023-03-18,2023-03-31,2023-04-06,124,6,INVALID,TRK6406538,IN_TRANSIT,382.69
SHP003535,SHPL003535,PO012493,SUP048,WH016,ITM0015,2023-05-22,2023-06-13,2023-06-19,70,4,Aramex,TRK1905178,IN_TRANSIT,94.72
SHP004261,SHPL004261,PO011028,SUP021,WH009,ITM0035,2023-06-17,2023-07-06,2023-07-10,2,0,FedEx,TRK1563105,IN_TRANSIT,1749.74
SHP001996,SHPL001996,PO001055,SUP015,WH010,ITM0071,2024-09-27,2024-10-16,2024-10-11,50,3,INVALID,TRK7997985,IN_TRANSIT,1995.9
SHP000801,SHPL000801,PO000916,SUP010,WH016,ITM0088,2022-12-10,2022-12-16,2022-12-22,137,11,Aramex,TRK3415562,DELAYED,2986.16
SHP004899,SHPL004899,PO000434,SUP035,WH003,ITM0069,2023-02-07,2023-02-10,2023-03-05,147,9,Aramex,TRK9141349,IN_TRANSIT,1677.7
SHP003514,SHPL003514,PO012722,SUP045,WH014,ITM0033,2024-10-13,2024-10-24,2024-10-22,95,8,Aramex,TRK4281432,LOST,4156.19
SHP000442,SHPL000442,PO003032,SUP045,WH003,ITM0080,2024-02-27,2024-03-18,2024-03-07,72,5,FedEx,TRK7489298,DELIVERED,3365.93
SHP003459,SHPL003459,PO009125,SUP019,WH002,ITM0113,2024-12-17,2025-01-01,2025-01-12,80,6,Aramex,TRK3277446,,3508.79
SHP003330,SHPL003330,PO014691,SUP020,WH007,ITM0059,2023-09-02,2023-09-23,2023-09-11,78,2,DHL,TRK2345245,DELAYED,4909.68
SHP001577,SHPL001577,PO007517,SUP021,WH003,ITM0084,2022-10-22,2022-11-02,2022-11-01,168,12,UPS,TRK3650346,IN_TRANSIT,1451.62
SHP003446,SHPL003446,PO017673,SUP028,WH018,ITM0048,2022-09-25,2022-10-17,2022-10-21,88,7,DHL,TRK8060814,DELIVERED,1775.73
SHP000673,SHPL000673,PO004211,SUP026,WH016,ITM0102,2022-02-04,2022-02-24,2022-02-26,105,3,DHL,TRK5904925,LOST,1747.03
SHP001388,SHPL001388,PO014015,SUP009,WH007,ITM0094,2023-03-16,2023-03-17,2023-03-26,157,4,BlueDart,TRK5434186,DELAYED,1549.38
SHP003909,SHPL003909,PO010517,SUP018,WH001,ITM0096,2023-08-16,2023-08-18,2023-08-22,118,9,DHL,TRK6191106,RETURNED,3352.89
SHP004766,SHPL004766,PO019412,SUP033,WH015,ITM0110,2023-12-29,2024-01-04,2024-01-16,104,0,FedEx,TRK6920894,RETURNED,2009.49
SHP001149,SHPL001149,PO016768,SUP009,WH004,ITM0071,2022-04-16,2022-05-03,2022-04-30,42,3,Aramex,TRK4610965,LOST,4164.41
SHP001181,SHPL001181,PO009833,SUP004,WH009,ITM0128,2022-09-02,2022-09-16,2022-09-25,100,6,BlueDart,TRK6701064,IN_TRANSIT,4193.24
SHP001304,SHPL001304,PO013969,SUP034,WH001,ITM0043,2024-01-04,2024-01-27,2024-01-06,95,6,Aramex,TRK4927366,DELAYED,492.85
SHP004720,SHPL004720,PO019000,SUP012,WH020,ITM0018,2024-04-28,2024-05-07,2024-05-02,45,2,Aramex,TRK6198922,DELAYED,4835.61
SHP004317,SHPL004317,PO000182,SUP024,WH004,ITM0121,2022-10-04,2022-10-29,2022-11-01,90,6,FedEx,TRK7534420,IN_TRANSIT,2823.41
SHP003462,SHPL003462,PO009694,SUP010,WH002,ITM0095,2024-06-25,2024-07-04,2024-07-25,104,4,DHL,TRK4878961,INVALID,INVALID
SHP001499,SHPL001499,PO018444,SUP044,WH001,ITM0146,2022-11-05,2022-11-09,2022-11-26,60,5,DHL,TRK5098873,LOST,INVALID
SHP000151,SHPL000151,PO007174,SUP008,WH001,ITM0053,2023-12-18,2024-01-08,2023-12-24,165,12,BlueDart,TRK7465895,IN_TRANSIT,3160.97
SHP003591,SHPL003591,PO016836,SUP043,WH005,ITM0063,2022-12-03,2022-12-19,2022-12-13,14,1,BlueDart,TRK6064965,RETURNED,4754.14
SHP001542,SHPL001542,PO018221,SUP046,WH003,ITM0130,2023-10-10,2023-11-04,2023-10-29,32,2,UPS,TRK5865287,RETURNED,4595.92
SHP003060,SHPL003060,PO017892,SUP009,WH007,ITM0037,2024-02-22,2024-02-23,2024-02-25,62,5,BlueDart,TRK8234384,IN_TRANSIT,2418.46
SHP004004,SHPL004004,PO004710,SUP004,WH008,ITM0023,2024-11-23,2024-11-28,2024-11-26,26,2,BlueDart,TRK4534512,DELIVERED,1353.56
SHP000805,SHPL000805,PO018343,SUP037,WH009,ITM0050,2022-11-19,2022-12-12,2022-12-17,13,0,FedEx,TRK9357770,IN_TRANSIT,3579.95
SHP003310,SHPL003310,PO011778,SUP034,WH010,ITM0008,2024-07-24,2024-07-27,2024-08-09,200,14,Aramex,TRK7398164,LOST,1307.74
SHP002817,SHPL002817,PO013068,SUP001,WH012,ITM0002,2024-06-28,2024-07-03,2024-07-02,118,2,FedEx,TRK1225581,RETURNED,3917.4
SHP003694,SHPL003694,PO009476,SUP027,WH009,ITM0043,2022-01-17,2022-02-03,2022-02-14,46,1,UPS,,LOST,927.91
SHP003458,SHPL003458,PO016918,SUP032,WH012,ITM0063,2023-08-22,2023-09-10,2023-09-16,192,12,UPS,TRK2740054,DELAYED,INVALID
SHP004332,SHPL004332,PO000332,SUP031,WH015,ITM0103,2022-04-07,2022-04-14,2022-04-29,141,11,BlueDart,TRK6163545,DELAYED,1796.1
SHP004260,SHPL004260,PO010640,SUP005,WH002,ITM0128,2022-03-03,2022-03-22,2022-03-09,68,4,BlueDart,TRK5718152,RETURNED,577.92
SHP001281,SHPL001281,PO014914,SUP017,WH020,ITM0131,2024-04-04,2024-04-06,2024-04-18,169,2,UPS,TRK4325783,DELIVERED,1592.15
SHP003575,SHPL003575,PO018369,SUP003,WH006,ITM0113,2024-02-27,2024-03-05,2024-03-04,148,4,,TRK3232202,DELIVERED,3989.06
SHP001897,SHPL001897,PO010735,SUP007,WH005,ITM0110,2024-08-08,2024-08-21,2024-08-16,90,2,Aramex,TRK3460856,,2664.52
SHP003213,SHPL003213,PO019134,SUP038,WH017,ITM0092,2022-12-01,2022-12-21,2022-12-21,180,2,Aramex,TRK2575438,,3649.67
SHP002085,SHPL002085,PO015537,SUP048,WH002,ITM0057,2024-04-11,2024-04-27,2024-04-14,142,4,DHL,TRK5381580,LOST,3051.83
SHP001145,SHPL001145,PO016226,SUP013,WH016,ITM0095,2024-12-13,2024-12-31,2025-01-12,117,8,DHL,TRK4229947,RETURNED,334.03
SHP000678,SHPL000678,PO017181,SUP038,WH002,ITM0105,2023-03-12,2023-03-28,2023-03-15,148,9,BlueDart,TRK1890775,IN_TRANSIT,3818.54
SHP003919,SHPL003919,PO007950,SUP014,WH008,ITM0098,2022-09-18,2022-10-05,2022-10-14,72,5,UPS,TRK2509851,DELIVERED,1998.93
SHP001546,SHPL001546,PO006609,SUP018,WH001,ITM0045,2024-04-05,2024-04-25,2024-04-16,62,4,BlueDart,TRK7507995,LOST,3307.94
SHP004434,SHPL004434,PO002280,SUP028,WH010,ITM0147,2023-01-22,2023-02-09,2023-02-12,101,0,Aramex,TRK4836123,LOST,4504.71
SHP000740,SHPL000740,PO004104,SUP021,WH008,ITM0138,2022-03-12,2022-03-28,2022-03-13,47,0,UPS,TRK6439998,DELAYED,896.69
SHP003324,SHPL003324,PO013610,SUP033,WH003,ITM0125,2022-04-24,2022-04-25,2022-05-21,135,7,DHL,TRK4276085,RETURNED,2162.32
SHP003438,SHPL003438,PO015191,SUP035,WH002,ITM0085,2023-03-27,2023-04-01,2023-04-07,143,0,DHL,TRK6671371,DELIVERED,
SHP001067,SHPL001067,PO010522,SUP008,WH016,ITM0053,2022-03-24,2022-04-14,2022-04-13,71,0,Aramex,TRK2847492,LOST,
SHP004479,SHPL004479,PO007648,SUP031,WH003,ITM0128,2022-08-15,2022-08-19,2022-08-27,1,0,FedEx,TRK3251055,IN_TRANSIT,666.37
SHP000071,SHPL000071,PO004430,SUP003,WH004,ITM0024,2024-07-05,2024-07-20,2024-07-12,119,1,FedEx,TRK5951905,LOST,2379.98
SHP002999,SHPL002999,PO005283,SUP046,WH002,ITM0044,2024-11-30,2024-12-18,2024-12-22,62,1,UPS,TRK4998320,RETURNED,2762.68
SHP000636,SHPL000636,PO010452,SUP012,WH019,ITM0144,2023-09-22,2023-10-13,2023-10-19,186,3,BlueDart,TRK3639075,IN_TRANSIT,3673.37
SHP001642,SHPL001642,PO000394,SUP014,WH011,ITM0129,2022-10-20,2022-10-25,2022-10-28,30,2,BlueDart,TRK5131622,DELAYED,142.19
SHP002668,SHPL002668,PO011528,SUP030,WH016,ITM0135,2024-03-03,2024-03-24,2024-03-23,164,8,BlueDart,TRK3645169,IN_TRANSIT,3399.9
SHP001409,SHPL001409,PO018916,SUP033,WH012,ITM0066,2022-06-17,2022-07-03,2022-06-25,68,6,FedEx,TRK3563079,DELAYED,4481.52
SHP004556,SHPL004556,PO006910,SUP007,WH002,ITM0104,-1,2022-02-05,2022-01-18,176,2,UPS,TRK9035793,RETURNED,2609.25
SHP002508,SHPL002508,PO014710,SUP034,WH015,ITM0023,2023-08-03,2023-08-18,2023-09-01,35,0,DHL,TRK3720280,DELAYED,3370.75
SHP003932,SHPL003932,PO019641,SUP040,WH002,ITM0040,2024-11-21,2024-12-08,2024-12-13,139,0,Aramex,TRK8970416,RETURNED,2784.96
SHP000082_DUP,SHPL000082_DUP,PO019050,SUP029,WH009,ITM0100,2024-06-02,2024-06-18,2024-06-27,171,9,BlueDart,TRK3898812,IN_TRANSIT,2834.58
SHP002452,SHPL002452,PO005032,SUP039,WH013,ITM0014,2023-07-13,2023-07-29,2023-08-10,79,7,DHL,TRK1227162,LOST,4326.64
SHP000360,SHPL000360,PO013774,SUP028,WH012,ITM0012,2023-05-23,2023-06-03,2023-06-13,167,16,FedEx,INVALID,DELIVERED,4678.42
SHP000177,SHPL000177,PO012006,SUP042,WH005,ITM0048,2024-09-10,2024-10-03,2024-09-27,157,0,BlueDart,TRK1587038,RETURNED,
SHP004887,SHPL004887,PO010555,SUP036,WH020,ITM0098,2024-09-26,2024-10-01,2024-10-01,164,7,FedEx,TRK4409512,DELAYED,2991.14
SHP001881,SHPL001881,PO007334,SUP011,WH017,ITM0051,2022-09-10,2022-09-14,2022-09-26,146,9,FedEx,TRK4482879,DELIVERED,3982.06
SHP003259,SHPL003259,PO001734,SUP048,WH003,ITM0121,2022-01-27,2022-02-05,2022-02-03,144,0,DHL,TRK4362154,LOST,4794.81
SHP003256,SHPL003256,PO009162,SUP015,WH003,ITM0112,2023-09-24,2023-10-17,2023-10-10,37,3,DHL,TRK6654430,DELAYED,1223.83
SHP000464,SHPL000464,PO007049,SUP020,WH013,ITM0126,2023-04-18,2023-05-07,2023-05-15,73,4,DHL,TRK1722108,DELAYED,1389.72
SHP001768,SHPL001768,PO010148,SUP002,WH008,ITM0134,2022-10-13,2022-10-27,2022-11-05,25,0,Aramex,TRK1767745,IN_TRANSIT,177.0
SHP002377,SHPL002377,PO001960,SUP035,WH016,ITM0143,2023-10-17,2023-11-03,2023-10-23,84,8,FedEx,TRK3610371,RETURNED,825.28
SHP002747,SHPL002747,PO002039,SUP022,WH009,ITM0100,2024-11-16,2024-11-23,2024-12-13,44,0,FedEx,INVALID,LOST,1187.53
SHP001885,SHPL001885,PO003122,SUP035,WH020,ITM0015,2022-11-27,2022-12-04,2022-12-17,197,15,FedEx,TRK8781191,LOST,494.45
SHP001882,SHPL001882,PO001766,SUP025,WH012,ITM0052,2024-05-16,2024-05-18,2024-06-04,184,15,BlueDart,TRK7750595,DELAYED,509.5
SHP003522,SHPL003522,PO017969,SUP022,WH002,ITM0062,2023-09-10,2023-10-01,2023-09-14,152,6,Aramex,TRK2288056,DELAYED,1637.63
SHP004446,SHPL004446,PO009613,SUP048,WH002,ITM0148,2022-02-24,2022-03-09,2022-03-06,27,0,DHL,TRK2780055,INVALID,147.26
SHP003031,SHPL003031,PO019473,SUP028,WH003,ITM0083,2024-04-20,2024-05-14,2024-05-06,189,7,FedEx,TRK3953292,LOST,848.99
SHP002263,SHPL002263,PO018025,SUP026,WH009,ITM0142,2023-04-04,2023-04-15,2023-04-27,174,17,DHL,TRK8850586,DELAYED,98.09
SHP001357,SHPL001357,PO016378,SUP018,WH002,ITM0120,2022-04-07,2022-04-25,2022-05-05,172,5,DHL,TRK1666148,,3556.52
SHP002818,SHPL002818,PO010003,SUP012,WH003,ITM0040,2022-09-28,2022-09-30,2022-10-20,24,2,Aramex,TRK6656040,RETURNED,1988.88
SHP001352,SHPL001352,PO001887,SUP020,WH004,ITM0019,2022-03-01,2022-03-17,2022-03-17,143,0,FedEx,TRK1361612,RETURNED,3195.61
SHP002453,SHPL002453,PO015966,SUP027,WH020,ITM0029,2023-10-31,2023-11-03,2023-11-02,197,2,FedEx,TRK6519265,IN_TRANSIT,3326.83
SHP001160,SHPL001160,PO015921,SUP011,WH020,ITM0094,2022-07-12,2022-08-06,2022-08-03,123,1,DHL,TRK5624328,DELIVERED,245.3
SHP001934,SHPL001934,PO002591,SUP050,WH017,ITM0111,2022-03-22,2022-03-23,2022-04-04,25,2,BlueDart,TRK9110657,LOST,2181.12
SHP000811,SHPL000811,PO010519,SUP036,WH008,ITM0030,2024-05-14,2024-05-19,2024-05-28,19,1,UPS,TRK3147965,IN_TRANSIT,2926.75
SHP003732,SHPL003732,PO010947,SUP013,WH003,ITM0101,2024-06-26,2024-07-21,2024-07-06,69,0,Aramex,TRK6575609,DELIVERED,1009.47
SHP002108,SHPL002108,PO006941,SUP047,WH008,ITM0071,2023-09-25,2023-10-01,2023-10-08,22,1,UPS,TRK3648825,,2166.51
SHP000325,SHPL000325,PO013494,SUP013,WH008,ITM0144,2024-06-17,2024-07-09,2024-07-11,130,12,DHL,TRK5036321,LOST,1505.62
SHP002787,SHPL002787,PO015625,SUP033,WH019,ITM0058,2022-07-30,2022-08-06,2022-08-27,101,1,DHL,TRK3080667,RETURNED,824.97
SHP004269,SHPL004269,PO007577,SUP031,WH001,ITM0010,2022-05-28,2022-05-29,2022-06-04,119,7,UPS,TRK9115281,DELAYED,1924.85
SHP003022,SHPL003022,PO012471,SUP033,WH004,ITM0035,2024-05-02,2024-05-09,2024-05-15,168,11,Aramex,TRK8917805,LOST,3949.47
SHP001471,SHPL001471,PO017055,SUP022,WH004,ITM0016,2024-07-22,2024-08-06,2024-08-18,11,0,BlueDart,TRK2888845,IN_TRANSIT,1367.27
SHP002657,SHPL002657,PO018310,SUP040,WH004,ITM0044,2022-12-10,2022-12-12,2022-12-13,60,4,Aramex,TRK4342760,IN_TRANSIT,225.35
SHP001793,SHPL001793,PO009970,SUP037,WH002,ITM0076,2024-02-19,2024-02-21,2024-03-08,65,0,UPS,TRK8459078,LOST,2032.36
SHP001879,SHPL001879,PO008471,SUP030,WH012,ITM0114,2022-06-17,2022-06-26,2022-06-29,112,5,BlueDart,TRK2505354,DELIVERED,870.99
SHP004092,SHPL004092,PO009409,SUP022,WH019,ITM0017,2022-05-02,2022-05-17,2022-05-06,151,5,FedEx,TRK5022148,LOST,3771.66
SHP003197,SHPL003197,PO014154,SUP032,WH011,ITM0080,2022-09-11,2022-09-26,2022-09-15,9,0,UPS,TRK8954807,LOST,1432.89
SHP000015,SHPL000015,PO014697,SUP012,WH008,ITM0136,2022-03-17,2022-04-04,2022-03-23,63,2,Aramex,TRK3963133,DELIVERED,1094.05
SHP000099,SHPL000099,PO017541,SUP034,WH011,ITM0088,2023-09-10,2023-09-23,2023-09-16,88,3,BlueDart,TRK7947168,DELIVERED,1044.62
SHP003350,SHPL003350,PO010077,SUP004,WH004,ITM0148,2022-10-06,2022-10-11,2022-10-24,36,1,BlueDart,TRK7766010,IN_TRANSIT,4400.24
